participantId,trialId,trialOrder,responseId,status,percentComplete,description,responsePrompt,answer,correctAnswer,isCorrectlyAnswered,responseMin,responseMax,startTime,endTime,duration,cleaned_times,dataset
574dc90512d86b000f833ab0,Covid-Text-Q1,7,voq1,completed,100.0,Content: Text Only,How many sets are shown in the description?,6,6,True,0,100,2024-08-21T23:02:01.910Z,2024-08-21T23:05:22.137Z,200227,200227,Covid Symptoms
574dc90512d86b000f833ab0,Covid-Text-Q1,7,voq2,completed,100.0,Content: Text Only,What is the largest set?,Fatigue,Fatigue,True,undefined,undefined,2024-08-21T23:02:01.910Z,2024-08-21T23:05:22.137Z,200227,200227,Covid Symptoms
574dc90512d86b000f833ab0,Covid-Text-Q1,7,voq3,completed,100.0,Content: Text Only,What is the largest intersection?,"Anosmia,Fatigue","Anosmia,Fatigue",True,undefined,undefined,2024-08-21T23:02:01.910Z,2024-08-21T23:05:22.137Z,200227,200227,Covid Symptoms
574dc90512d86b000f833ab0,Covid-Text-Q1,7,voq4,completed,100.0,Content: Text Only,How large is the largest intersection?,281,281,True,0,1000000000,2024-08-21T23:02:01.910Z,2024-08-21T23:05:22.137Z,200227,200227,Covid Symptoms
574dc90512d86b000f833ab0,Covid-Text-Q1,7,voq5,completed,100.0,Content: Text Only,How many sets make up the largest intersection?,It is the intersection of 2-3 sets,It is the intersection of 2-3 sets,True,undefined,undefined,2024-08-21T23:02:01.910Z,2024-08-21T23:05:22.137Z,200227,200227,Covid Symptoms
574dc90512d86b000f833ab0,Covid-Text-Q1,7,voq6,completed,100.0,Content: Text Only,How similar are the set sizes?,Roughly equal,Diverging a lot,False,undefined,undefined,2024-08-21T23:02:01.910Z,2024-08-21T23:05:22.137Z,200227,200227,Covid Symptoms
574dc90512d86b000f833ab0,Covid-Text-Q1,7,voq7,completed,100.0,Content: Text Only,Is the largest set present in the largest intersection?,Yes,Yes,True,undefined,undefined,2024-08-21T23:02:01.910Z,2024-08-21T23:05:22.137Z,200227,200227,Covid Symptoms
574dc90512d86b000f833ab0,Covid-Text-Q1,7,voq8,completed,100.0,Content: Text Only,Is the all-set intersection (intersection having all the sets) present? ,No,Yes,False,undefined,undefined,2024-08-21T23:02:01.910Z,2024-08-21T23:05:22.137Z,200227,200227,Covid Symptoms
574dc90512d86b000f833ab0,Covid-Text-Q2,8,voq1,completed,100.0,Content: Text Only,How confident are you in your answers?,4,undefined,undefined,undefined,undefined,2024-08-21T23:05:22.156Z,2024-08-21T23:06:02.321Z,40165,14990,Covid Symptoms
574dc90512d86b000f833ab0,Covid-Text-Q2,8,voq2,completed,100.0,Content: Text Only,How well did you understand the information presented?,4,undefined,undefined,undefined,undefined,2024-08-21T23:05:22.156Z,2024-08-21T23:06:02.321Z,40165,14990,Covid Symptoms
